,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
60,stations,92,200,-15.51,167.18,1537731571,2136150,1024.73,100,1024.73,1027.01,76.76,76.76,76.76,Luganville,,,VU,,0.0057,1537641598,1537685242,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",122.504,,16.02
61,stations,36,200,-37.83,140.78,1537731571,2156643,1039.65,81,1039.65,1048.49,42.38,42.38,42.38,Mount Gambier,,,AU,,0.0034,1537647857,1537691675,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",153.004,,3.15
62,stations,100,200,-46.28,169.85,1537731572,2208248,1001.63,100,1001.63,1018.9,41.39,41.39,41.39,Kaitangata,,1.2425,NZ,,0.0033,1537640839,1537684756,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",63.5035,,9.42
63,stations,32,200,-30.17,-50.22,1537731572,3466165,1013.95,84,1013.95,1023.89,75.14,75.14,75.14,Cidreira,,,BR,,0.0037,1537693690,1537737491,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",65.5035,,6.73
64,stations,75,200,-42.88,147.33,1537729200,2163355,,63,1032.0,,42.8,42.8,42.8,Hobart,,,AU,8195.0,0.0038,1537646259,1537690137,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",270.0,,5.82
65,stations,76,200,3.07,172.79,1537731572,2110227,1023.68,100,1023.68,1023.73,84.05,84.05,84.05,Butaritari,,,KI,,0.0035,1537640275,1537683857,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",157.004,,9.42
66,stations,24,200,65.58,-170.99,1537731573,4031637,1014.68,96,1014.68,1018.82,43.55,43.55,43.55,Lavrentiya,,,RU,,0.0034,1537722776,1537766229,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",15.5035,,20.27
67,stations,8,200,-12.06,-77.04,1537731574,3936456,875.26,59,875.26,1022.75,68.3,68.3,68.3,Lima,,,PE,,0.0032,1537700189,1537743845,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]",199.004,,3.15
68,stations,20,200,55.74,-97.86,1537729200,6165406,,30,1025.0,,42.8,42.8,42.8,Thompson,,,CA,3406.0,0.0033,1537705230,1537748716,1.0,24140.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200.0,,9.17
69,stations,48,200,60.4,-1.35,1537730400,2654970,,60,1021.0,,44.82,46.4,42.8,Brae,,,GB,5126.0,0.0038,1537682014,1537725605,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",310.0,,10.29
70,stations,0,200,53.97,121.97,1537731575,2012938,953.0,83,953.0,1035.56,33.38,33.38,33.38,Yerofey Pavlovich,,,RU,,0.0111,1537652409,1537696048,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.504,,2.37
71,stations,92,200,71.98,102.47,1537731575,2022572,1011.68,87,1011.68,1016.23,39.86,39.86,39.86,Khatanga,,0.26,RU,,0.0052,1537656899,1537700834,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",115.004,,2.93
72,stations,76,200,71.97,114.09,1537731575,2017155,1005.36,91,1005.36,1016.88,35.0,35.0,35.0,Saskylakh,,,RU,,0.0091,1537654102,1537698055,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",233.004,,4.61
73,stations,75,200,30.04,-94.42,1537731060,4732862,,67,1011.0,,85.26,87.08,82.58,Nome,,,US,2560.0,0.0045,1537704424,1537747913,1.0,16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",170.0,,8.05
74,stations,68,200,46.43,-74.98,1537731494,6050541,1001.87,67,1001.87,1040.83,47.06,47.06,47.06,Laurentides,,0.1075,CA,,0.0042,1537699750,1537743236,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",344.504,,5.95
75,stations,20,200,-4.26,-55.99,1537729200,3397967,,44,1007.0,,96.8,96.8,96.8,Itaituba,,,BR,4510.0,0.0032,1537695158,1537738768,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",120.0,,10.29
76,stations,20,200,37.72,-25.43,1537729200,3372472,,78,1028.0,,73.4,73.4,73.4,Vila Franca do Campo,,,PT,5957.0,0.0029,1537687857,1537731363,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",120.0,,8.05
77,stations,20,200,-20.41,57.7,1537729200,934322,,78,1024.0,,73.4,73.4,73.4,Mahebourg,,,MU,6729.0,0.0033,1537667845,1537711536,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",110.0,,13.87
78,stations,40,200,-21.2,-175.2,1537729200,4032243,,83,1015.0,,71.6,71.6,71.6,Vaini,,,TO,8323.0,0.0082,1537723702,1537767445,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",160.0,,10.29
79,stations,0,200,17.54,44.22,1537729200,103630,,19,1018.0,,80.6,80.6,80.6,Najran,,,SA,6998.0,0.0036,1537671137,1537714680,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",7.00354,,2.71
80,stations,20,200,-6.13,106.38,1537729200,1639362,,74,1012.0,,78.8,78.8,78.8,Kresek,,,ID,8043.0,0.0033,1537656199,1537699809,1.0,5000.0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",190.0,,4.7
81,stations,88,200,-42.48,-73.76,1537731578,3896218,1017.52,87,1017.52,1032.36,46.07,46.07,46.07,Castro,,0.17,CL,,0.0033,1537699257,1537743236,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",297.504,,8.86
82,stations,0,200,-24.87,113.63,1537731579,2074865,1030.89,98,1030.89,1032.2,64.88,64.88,64.88,Carnarvon,,,AU,,0.0039,1537654418,1537698128,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",161.004,,14.79
83,stations,75,200,42.77,-9.06,1537729200,3115824,,93,1027.0,,66.2,66.2,66.2,Muros,,,ES,5500.0,0.0033,1537683921,1537727437,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",40.0,,8.05
84,stations,0,200,64.42,-173.23,1537731579,4031574,1013.54,100,1013.54,1019.71,42.56,42.56,42.56,Provideniya,,,RU,,0.0042,1537723320,1537766765,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",20.0035,,13.11
